,dummy_column
dummy_index,0
 intestino tc1,0
 paloma,0
(D) Blad OL,0
(D) Blad Opt,0
(D) CD OL,0
(D) CD OPT,0
(D) LB OL,0
(D) PRSV OL,0
(D) PRSV OPT,0
(D) PTV 70.2 OL,0
(D) Rect Opt,0
(D)Ptv 70.2 opt,0
(PTV2-dig)-rct,0
(ptv pelvis),0
(ptvopt-dig)-rec,0
1,0
10 Gy 2015,0
100%buiten PTV2,0
2,0
2MARKUP_PTVA,0
2OPT_Bladder,0
2OPT_Bowel,0
2OPT_Bowel+PTVA,0
2OPT_PTVA,0
2OPT_PTVA_BST,0
2OPT_PTVA_BST2,0
2OPT_PTVB,0
2OPT_PTVB BST,0
2OPT_PTVB_CTRL,0
2OPT_Rectum,0
2PTVA_Ring,0
2PTVB,0
2PTVexp,0
2Prostate,0
3,0
3Reperi,0
4,0
4536.80cGy,0
51.3gy,0
5350.00cGy,0
5350.00cGy_1,0
"62,51G_exPTV1",0
62.51G_exPTV1,0
6420.00cGy,0
72.5%,0
76,0
ABO,0
AJM Bowel,0
AJM bladder,0
AJM rectum,0
ALL_Targets_exp,0
ALLtarget,0
ALO_In_Vivo_PT,0
ANO,0
ANO TC1,0
ANO TC2,0
ANORETTO,0
ANOin,0
ANSA,0
ANSE,0
ANSE 0.5mm,0
ANSE INTESTINALI,0
ANT_In_Vivo_PT,0
APEX,0
ARIA,0
ARO_In_Vivo_PT,0
ARTEFACT,0
ARTIFACT,0
AVOID,0
A_inPTV1,0
Abdominalhoehle,0
AcqIsocenter,0
Acqua,0
Addbody,0
Adenop,0
Adenopatias,0
AllTarget,0
AllTargets,0
AnCa_exPTV1_3,0
AnCa_exPTV1c_3,0
AnCa_exPTV1fr18,0
AnCan+Rec,0
AnCan+Rec inPTV,0
AnCan+Rec noPTV,0
Anaal kanaal,0
Anal Canal,0
Anal Canal inPTV,0
Anal Canal noPTV,0
Anal canal,0
Anal canal inPTV,0
Anal canal noPTV,0
Anal+Rectum,0
AnalCanal,0
AnalCanal inPTV,0
AnalCanal noPTV,0
AnalCanal+Rectum,0
AnalCanal-PTV,0
AnalCanalInPTV,0
AnalCanalRectum,0
AnalSphincter,0
Anal_canal,0
Analcanal,0
Anca_inPTV1,0
Ano,0
Ano 1,0
Ano 2,0
Ano TAC 1,0
Ano TAC 2,0
Ano TC 1,0
Ano TC 2,0
Ano TC2,0
Ano tac 1,0
Ano tc 1,0
Ano tc 2,0
Ano tc 3,0
Ano tc 4,0
Ano tc1,0
Ano tc2,0
Anoretto,0
Ant_In_Vivo_PT,0
Anus,0
Anus (ant.),0
Anus (ext.),0
Anus (int.),0
Anus (post.),0
Apex,0
Artefact,0
Artefacts,0
Artefakte,0
Artefatti,0
Artifact,0
Artificial HIP,0
Avoidance,0
Avoidance 56,0
Avoidance 70,0
Avoidance 77,0
Avoidance0,0
Ax_lim,0
BLADDER,0
BLADDER MIN FILL,0
BLADDEROPT,0
BLADDEROPT2,0
BL_inPTV1c,0
BMILEO,0
BMILEO IN54,0
BMLS,0
BMLS IN54,0
BMPELVIS,0
BMPELVIS IN54,0
BMPELVIS IN74,0
BMS LS,0
BMS ileo,0
BM_ILEO,0
BM_LS,0
BM_PELVIS,0
BODY,0
BOOST,0
BOOst,0
BOWEL,0
BOWEL AND PTVB,0
BOWEL IN PTVA,0
BOWEL KVK,0
BOWEL2,0
BULBO,0
BULBO P,0
BULBO PENIENO,0
BaseDroite,0
BaseGauche,0
Bauchhöhle,0
Beacons,0
Becken,0
Becken 44Gy,0
Becken LAW,0
Becken/LAW,0
Becken_mod,0
Beckenknochen,0
Bl_exPTV1_3,0
Bl_exPTV1c_3,0
Bl_exPTV1fr18,0
Bl_inPTV1,0
Bl_inPTV1fr18,0
Bl_inPTV2,0
Blaas,0
Blaas Crop,0
Blaas noPTV,0
Blad_inPTV1,0
Bladd in PTV,0
Bladd&PTV,0
Bladder,0
Bladder CT,0
Bladder Crop,0
Bladder Eval,0
Bladder Liam,0
Bladder Opt,0
Bladder Opt 2,0
Bladder Opt2,0
Bladder Wall,0
Bladder avoid,0
Bladder avoid1,0
Bladder avoid2,0
Bladder correct,0
Bladder in PTV,0
Bladder noPTV,0
Bladder opt,0
Bladder opt1,0
Bladder wall,0
Bladder-PTV,0
BladderWall,0
Bladder_Inside,0
Bladder_PTV,0
Bladder_opt45Gy,0
Bladder_opt70.2G,0
Bladder_out,0
Bladder_yl,0
Bladdo,0
Blase,0
Blase MRT,0
Blase union,0
Blood vessels,0
Blood vessels2,0
Body,0
Body1,0
Bolsa colostom,0
Bolus Bag,0
Bones,0
Boost,0
Boost Loge,0
Bowel,0
Bowel 56,0
Bowel Bag,0
Bowel Bag noPTV,0
Bowel InPTV,0
Bowel JD,0
Bowel NoPTV,0
Bowel PTV,0
Bowel PTV70,0
Bowel and PTVA,0
Bowel and PTVB,0
Bowel bag,0
Bowel bag noPTV,0
Bowel in Loge,0
Bowel in PTV,0
Bowel in PTVA,0
Bowel in PTVB,0
Bowel in PTVN,0
Bowel in Pelvis,0
Bowel inPTV,0
Bowel noPTV,0
Bowel not,0
Bowel not Loge,0
Bowel not PTV,0
Bowel not Pelvis,0
Bowel-PTV56,0
Bowel1,0
BowelB-PTV_5600,0
BowelB-PTV_7700,0
BowelBAG,0
BowelBInPTV_5600,0
BowelBInPTV_7700,0
BowelBag,0
BowelBag Crop,0
BowelBag in PTV,0
BowelBag noPTV,0
BowelBag not PTV,0
BowelBag-PTV,0
BowelBag-Pelv_05,0
BowelBagInPTV,0
BowelBagInPTV56,0
BowelBagInPTV70,0
BowelBagInPTV_66,0
BowelBagInPTV_77,0
BowelBagInPTVt,0
BowelInPTV,0
BowelInPelvis,0
BowelNotPTV,0
BowelOPT,0
Bowel_Check,0
Bowelbag,0
BowelbagInPTV70,0
BowelinPTV,0
BowelinPTVLoge,0
BowelnotPTV,0
Bowels,0
Bowels Opt,0
Bst,0
Bulb,0
Bulb Penis,0
Bulb penis,0
Bulb penis crop,0
BulbPenis,0
BulbPenis-PTV,0
Bulbo,0
Bulbus,0
Bulbus Penis,0
Bulbus p.,0
Bulbus penis,0
Bulbus penis_1,0
CALYPSO,0
CALYPSO 1,0
CALYPSO 2,0
CALYPSO 3,0
CALYPSO1,0
CALYPSO2,0
CALYPSO3,0
CANALE ANALE,0
CAUDA,0
CAV ADDOM 0.5mm,0
CAVITA ADDOMINAL,0
CAVITA INTESTINA,0
CDPTV,0
CDPTVOPT,0
CENTRATURA,0
CI-5mm,0
COLD,0
COLON,0
COLON TAC 2,0
COLON-SIGMA,0
CONTOUR EXTERNE,0
CORD,0
CORR,0
CTV,0
CTV  DIL,0
CTV  P michi,0
CTV  PROSTATA,0
CTV  VS,0
CTV 45,0
CTV 50,0
"CTV 50,4 Gy",0
CTV BOOST,0
CTV CD,0
CTV KLIER,0
CTV LAO,0
CTV LN,0
CTV LNF +,0
CTV LOGE,0
CTV LOGGIA,0
CTV LOGGIA BOOST,0
CTV LOGGIA PROST,0
CTV Loge,0
CTV Meta,0
CTV N,0
CTV N - Bowel,0
CTV N PET +,0
CTV N exp,0
CTV N+ PET,0
CTV N2,0
CTV Nesp,0
CTV P,0
CTV P VS,0
CTV P+ VS,0
CTV P+VS,0
CTV PELVI,0
CTV PROSTATA,0
CTV PROSTATA + V,0
CTV Para-aort.,0
CTV Pelvis,0
CTV Prostaat,0
CTV Prostaat +zb,0
CTV Prostaatloge,0
CTV Prostloge,0
CTV RECIDIVA,0
CTV SCN dx,0
CTV TC,0
CTV VESCICOLE,0
CTV VS,0
CTV VS exp,0
CTV VSesp,0
CTV ZB,0
CTV Zaadblaas,0
CTV adapted,0
CTV exp,0
CTV exp 50,0
CTV ganglionar,0
CTV ganglios,0
CTV klier obt re,0
CTV klieren,0
CTV loge,0
CTV loggia,0
CTV loggia P,0
CTV loggia p,0
CTV loggia pr,0
CTV loggia prost,0
CTV mam dx,0
CTV mamm  dx,0
CTV mamm dx,0
CTV mamm sx,0
CTV pelvis,0
CTV prost fr18,0
CTV prostaatloge,0
CTV prostata,0
CTV prostate,0
CTV recidiva,0
CTV-N 45,0
CTV-PS,0
CTV-ganglionar,0
CTV1,0
CTV1 CT1,0
CTV1 union,0
CTV2,0
CTV2 CT2,0
CTV3,0
CTV4500,0
CTV70.2,0
CTV7020,0
CTVA,0
CTVB,0
CTVKlieren66Gy1,0
CTVKlieren66Gy2,0
CTVN,0
CTVN (new scan),0
CTVN (old scan),0
CTVN 1,0
CTVN MOD,0
CTVN MOD.,0
CTVN cropped,0
CTVN exp,0
CTVN incomplete,0
CTVN nd,0
CTVN sv,0
CTVN-Int,0
CTVN1,0
CTVNesp,0
CTVNexp,0
CTVNinInt,0
CTVNintBowel,0
CTVNintTenue,0
CTVNopt,0
CTVVSexp,0
CTV_45sb,0
CTV_5565,0
CTV_5600,0
CTV_59.4,0
CTV_70.2SB,0
CTV_7020,0
CTV_7700,0
CTV_All,0
CTV_Lnn,0
CTV_SV,0
CTV_ZB,0
CTV_boost,0
CTV_chris,0
CTV_nmr,0
CTV_old,0
CTV_pelvis,0
CTV_pros,0
CTVboost,0
CTVesp,0
CTVexp,0
CTVloggia Esp,0
CTVmenoPTVesp,0
CTVn,0
CTVn_5600,0
CTVn_Fat,0
CTVn_elec,0
CTVn_vasc_5,0
CTVnodal boost,0
CTVnode boost,0
CTVnodeboost,0
CTVnodes,0
CTVopt,0
CTVp,0
CTVp adj 1406201,0
CTVp adjusted,0
CTVp1CT_pros,0
CTVp1_pros,0
CTVp1_prostCT,0
CTVp1_vs,0
CTVp1_vs2,0
CTVp_7000,0
CTVt,0
CTVvs+silvia,0
CTv ganglios,0
Cabeza FD,0
Cabeza FI,0
Cabeza Fdcha,0
Cabeza Fizq,0
Cabeza dcha,0
Cabeza izq,0
Cadenas,0
Calcificazioni,0
Calypso,0
Calypso 1,0
Calypso 2,0
Calypso 3,0
Canale anale,0
Carbon Fiber,0
Colon,0
Colon 1,0
Colon 2,0
Colon TC 4,0
Colon TC1,0
Colon TC2,0
Colon tac 1,0
Colon tac 2,0
Colon tc 1,0
Colon tc 2,0
Colon tc1,0
Colon tc2,0
Colon- Sigma,0
Colon-SIGMA,0
Colon-Sigma,0
Colon-sigma,0
Colon-sigme,0
Colon.sigma,0
Colontc2,0
Copy of Prostata,0
Copy of Prostataloge,0
Corazon,0
CouchGrid,0
CouchInterior,0
CouchInterior1,0
CouchRailLeft,0
CouchRailRight,0
CouchSurface,0
CouchSurface1,0
Cuore,0
DIVERTICOLI,0
DNU,0
DNU1,0
DNU2,0
DNU3,0
DP1,0
DP2,0
DP3,0
DP4,0
DP5,0
Darm,0
Darm inPTVLoge,0
Darm inPTVPelvis,0
Darm noPTVLoge,0
Darm noPTVPelvis,0
Densiteit,0
Density corr,0
Diverticolo,0
Dose  90[%],0
Dose 100[%],0
Dose 102.4[%],0
Dose 102.5[%],0
Dose 102.6[%],0
Dose 102.7[%],0
Dose 102[%],0
Dose 103.1[%],0
Dose 103.2[%],0
Dose 103.3[%],0
Dose 103.4[%],0
Dose 103.5[%],0
Dose 103.5b[%],0
Dose 103.6[%],0
Dose 103.7[%],0
Dose 103.8[%],0
Dose 103[%],0
Dose 104.2[%],0
Dose 104.3[%],0
Dose 104.5[%],0
Dose 104.6[%],0
Dose 104.7[%],0
Dose 104.8[%],0
Dose 104.9[%],0
Dose 104[%],0
Dose 105[%],0
Dose 106.3[%],0
Dose 106.5[%],0
Dose 106[%],0
Dose 107.1[%],0
Dose 107.3[%],0
Dose 107.6[%],0
Dose 107.8[%],0
Dose 107.9[%],0
Dose 107[%],0
Dose 108.4[%],0
Dose 108.7[%],0
Dose 108[%],0
Dose 109[%],0
Dose 109[%]1,0
Dose 14.7[Gy],0
Dose 1500[cGy],0
Dose 1500[cGy].,0
Dose 2670[cGy],0
Dose 2720[cGy],0
Dose 3850[cGy],0
Dose 3860[cGy],0
Dose 400[cGy],0
Dose 40[Gy],0
Dose 4300[cGy],0
Dose 44.5[Gy],0
Dose 44[Gy],0
Dose 4600[cGy],0
Dose 4650[cGy],0
Dose 4680[cGy],0
Dose 47.5[Gy],0
Dose 47.87[Gy],0
Dose 47.88,0
Dose 47.88/test2,0
Dose 47.88[Gy],0
Dose 47.88[Gy]2,0
Dose 4700[cGy],0
Dose 4750[cGy],0
Dose 4790[cGy],0
Dose 4800[cGy],0
Dose 4810[cGy],0
Dose 4820[cGy],0
Dose 4850[cGy],0
Dose 4870[cGy],0
Dose 4880[cGy],0
Dose 4890[cGy],0
Dose 4898[cGy],0
Dose 4899[cGy],0
Dose 4900[cGy],0
Dose 4950[cGy],0
Dose 5000[cGy],0
Dose 5000[cGy]a,0
Dose 500[cGy],0
Dose 50[Gy],0
Dose 51.3[Gy],0
Dose 52.5[Gy],0
Dose 53.2[Gy],0
Dose 54[Gy],0
Dose 5799[cGy],0
Dose 57[Gy],0
Dose 58.5[Gy],0
Dose 58.8[Gy],0
Dose 5800[cGy],0
Dose 59.2[Gy],0
Dose 59.5[Gy],0
Dose 59.85[Gy],0
Dose 59.9[Gy],0
Dose 5900[cGy],0
Dose 5950[cGy],0
Dose 59[Gy],0
Dose 59[Gy]bu,0
Dose 59[Gy]x,0
Dose 6000[cGy],0
Dose 60Gy,0
Dose 60[Gy],0
Dose 62.45[Gy],0
Dose 62.51[Gy],0
Dose 62.51[Gy]2,0
Dose 62.5[Gy],0
Dose 63[Gy],0
Dose 64.5[%],0
Dose 64[%],0
Dose 64[Gy],0
Dose 65[Gy],0
Dose 66.15[Gy],0
Dose 66.5[Gy],0
Dose 66.6[Gy],0
Dose 67.4[Gy],0
Dose 67.5[Gy],0
Dose 67.9[Gy],0
Dose 68.2[Gy],0
Dose 68.3[Gy],0
Dose 68.4[%],0
Dose 68.4[Gy],0
Dose 68.6[Gy],0
Dose 68.7[Gy],0
Dose 68.9[Gy],0
Dose 68[%],0
Dose 68[Gy],0
Dose 69.8[Gy],0
Dose 69[Gy],0
Dose 70.5[Gy],0
Dose 70[Gy],0
Dose 71.8[Gy],0
Dose 71.9[%],0
Dose 71[Gy],0
Dose 72.3,0
Dose 72.3[Gy],0
Dose 72.4,0
Dose 72.45[Gy],0
Dose 72.4[Gy],0
Dose 72.5,0
Dose 72.5[%],0
Dose 72.5[Gy],0
Dose 72.6[Gy],0
Dose 72.7[Gy],0
Dose 72.8[Gy],0
Dose 72.9[Gy],0
Dose 72[%],0
Dose 72[Gy],0
Dose 73.1[Gy],0
Dose 73.2[Gy],0
Dose 73.3[Gy]bu,0
Dose 73.4[Gy],0
Dose 73.5[Gy],0
Dose 73.7[Gy],0
Dose 73[Gy],0
Dose 74.1[Gy],0
Dose 74.5[Gy],0
Dose 75.4[Gy],0
Dose 75.7[Gy],0
Dose 75[%],0
Dose 76.1[Gy]T5,0
Dose 76.3[Gy],0
Dose 76.5[Gy],0
Dose 76.6[Gy],0
Dose 76[Gy],0
Dose 76[Gy]1,0
Dose 77.7[%],0
Dose 78.6[Gy],0
Dose 78.8[Gy]T5,0
Dose 78[%],0
Dose 79.1[Gy],0
Dose 79.2[Gy],0
Dose 79.3[Gy],0
Dose 79.4[Gy],0
Dose 79.5[Gy],0
Dose 79.5[Gy]*,0
Dose 79.6,0
Dose 79.6[Gy],0
Dose 79.6[Gy]T4,0
Dose 79.7[Gy],0
Dose 79.8[Gy],0
Dose 79.9[Gy],0
Dose 79[Gy],0
Dose 80.2[Gy],0
Dose 80.5[Gy],0
Dose 80.8[Gy],0
Dose 80[%],0
Dose 80[Gy],0
Dose 8180[cGy],0
Dose 81[%],0
Dose 8200[cGy],0
Dose 8200[cGy]2,0
Dose 8240[cGy],0
Dose 8240[cGy]k,0
Dose 8250[cGy],0
Dose 8300[cGy],0
Dose 8300[cGy]2,0
Dose 8350[cGy],0
Dose 8360[cGy],0
Dose 8390[cGy],0
Dose 8400[cGy],0
Dose 8400[cGy]b,0
Dose 8450[cGy]r,0
Dose 84[%],0
Dose 89.3[%],0
Dose 90,0
Dose 90[%],0
Dose 90[%]1,0
Dose 90[%]hotspo,0
Dose 91,0
Dose 91[%],0
Dose 94[%],0
Dose 95[%,0
Dose 95[%],0
Dose 98[%],0
Dose max 60 Gy,0
Dose_47.88_Hulp,0
Dosis 59Gy,0
Dp3,0
Duenndarm,0
DunneDarm,0
Duodenum,0
Dünndarm F.,0
External,0
External ROI,0
External-4_Rind,0
F M,0
FEM DX,0
FEM SX,0
FEMORE DESTRO,0
FEMORE DX,0
FEMORE SIN,0
FEMORE SINISTR,0
FEMORE SINISTRO,0
FEMORE SN,0
FEMORE SX,0
FEMORE ds,0
FHL,0
FHR,0
FM,0
FVK of Prostata,0
FVK of Prostataloge,0
False Hip,0
Fem Hd+Neck L,0
Fem Hd+Neck R,0
Fem Head L,0
Fem Head R,0
Femirkopf li,0
Femoral Head L,0
Femoral Head R,0
Femoral head L,0
Femoral head R,0
FemoralHead L,0
FemoralHead R,0
FemoralHead_L,0
FemoralHead_R,0
FemoralJoint_L,0
FemoralJoint_R,0
Femoralhead_L,0
Femoralhead_R,0
Femore DX,0
Femore Dx,0
Femore SN,0
Femore Sn,0
Femore dx,0
Femore sn,0
Femore sx,0
Femrkopf li,0
Femukopf re,0
Femur Left,0
Femur Right,0
Femur li.,0
Femur re,0
Femur-LT,0
Femur-RT,0
FemurKopf li,0
FemurKopf re,0
Femur_D,0
Femur_G,0
Femur_L,0
Femur_R,0
Femur_droit,0
Femur_gauche,0
Femurkop Li,0
Femurkop Re,0
Femurkopf li,0
Femurkopf li.,0
Femurkopf links,0
Femurkopf re,0
Femurkopf re.,0
Femurkopf rechts,0
Femurkopfli,0
Femurkpof li,0
Femutkopf li,0
Femutkopf re,0
Fiducial1,0
Fiducial2,0
Fiducial3,0
Fiducial4,0
Fiducial5,0
Fiducial6,0
Fiducial7,0
FiducialMarker,0
Foam Core,0
For info,0
For info only,0
ForceHU,0
ForceHU1,0
GH ant,0
GOLD MARKER,0
GOLD MARKERS,0
GTV,0
GTV 77Gy,0
GTV KLIER,0
GTV Klier,0
GTV LK,0
GTV N,0
GTV P VS,0
GTV VS,0
GTV klier,0
GTV klier obt re,0
GTV klieren,0
GTV node1,0
GTV prostata,0
GTV recidief,0
GTV+,0
GTV-,0
GTV1,0
GTV_All,0
GTV_Lnn,0
GTV_Lnn1,0
GTV_Lnn2,0
GTV_Lnn3,0
GTV_Lnn4,0
GTV_Lnn_1,0
GTV_Lnn_2,0
GTV_Lnn_3,0
GTV_PETklieren,0
GTV_Prostata,0
GTV_Prostata_SiB,0
GTV_exp,0
GTV_exp_0.3,0
GTV_exp_0.5,0
GTV_meta,0
GTV_morf,0
GTV_morf_1,0
GTV_morf_2,0
GTV_morf_exp,0
GTV_morf_exp_0.5,0
GTV_morf_skew,0
GTV_morph,0
GTV_morph1,0
GTV_morph2,0
GTV_morph3,0
GTV_morph_1,0
GTV_morph_2,0
GTV_morph_3,0
GTV_morph_All,0
GTV_morph_All_exp,0
GTV_morph_all,0
GTVn,0
GTVn_sum,0
GTVp,0
GTVplan,0
GTVtra,0
GTVvs,0
Galbladder,0
Ghost,0
GrossLN's_sb,0
H2O,0
HERNIA,0
HIP PRV,0
HOT SOPRAVESC,0
HOT_ANT,0
HOT_POST,0
HR CTVplan,0
HR CTVtra,0
HR_tbCTVp1_xx,0
HR_tbGTVp1,0
HU=0,0
Harnblase,0
Help,0
Hernia,0
Heup,0
Heupprothese,0
Huefte li,0
Huefte li.,0
Huefte re,0
Huefte re.,0
Hueftkopf li,0
Hueftkopf re,0
Hulp 1,0
Hulp 2,0
Humeruskopf li,0
Humeruskopf re,0
Hï¿½ftkopf links,0
Hï¿½ftkopf rechts,0
Hüfte li,0
Hüfte re,0
Hüftkopf L,0
Hüftkopf R,0
I1,0
I2,0
IGRT_MinBladder,0
IGRT_minBladder,0
IGRTminBLAD,0
ILEUM,0
IMRT_Rind1,0
IMRT_Rind_1,0
IMRT_Rind_2,0
IMRT_Rind_2cm,0
IMRT_Rind_3,0
IMRT_Rind_3cm,0
IN VESC 54,0
IN VESC 60,0
IN cav in 54,0
IN retto 60,0
IN sigma 60,0
INFO_66.6ring,0
INFO_overlap59.2,0
INFO_overlap6cc,0
INSTEL,0
INSTELPUNT,0
INTESTINAL LOOPS,0
INTESTINO,0
IR CTV,0
IR_tbCTVp1,0
IR_tbCTVp1_xx,0
IR_tbGTVp1,0
ISO CTV,0
ISO FASE1,0
ISO GTV,0
ISO ProstLAG,0
ISO Prostata,0
ISO TC,0
ISO ZV2/Boost,0
ISO anonst/anon,0
ISO-TC,0
ISOCENTER,0
ISOCENTRO,0
ISOTC,0
Ileum,0
Iliac LNs,0
Iliac LNs2,0
Iliac Nodes,0
InitLaserIso,0
InitMatchIso,0
Instelpunt,0
Int Non CTVN,0
Intestino,0
Intestino 2,0
Intestino TC 1,0
Intestino TC 2,0
Intestino TC1,0
Intestino TC2,0
Intestino tc 1,0
Intestino tc 2,0
Intestino tc 4,0
Intestino tc1,0
Intestino tc2,0
IntestinoTC1,0
Intestinotc2,0
Iso F1,0
Iso Fase 1,0
Iso TC,0
IsoFase1,0
IsoTAC,0
IsoTC,0
Iso_TC,0
IsocTC,0
Isocenter 1,0
Isocenter 10,0
Isocenter 11,0
Isocenter 12,0
Isocenter 13,0
Isocenter 14,0
Isocenter 15,0
Isocenter 16,0
Isocenter 17,0
Isocenter 18,0
Isocenter 19,0
Isocenter 2,0
Isocenter 20,0
Isocenter 21,0
Isocenter 22,0
Isocenter 23,0
Isocenter 24,0
Isocenter 3,0
Isocenter 4,0
Isocenter 5,0
Isocenter 6,0
Isocenter 7,0
Isocenter 8,0
Isocenter 9,0
Isocenter1,0
Isocentro,0
Isocentro F1,0
Isocentro Fase 1,0
IsocentroF1,0
IsocentroF2,0
KM,0
KVue Couch Top,0
Kidney L,0
Kidney R,0
Kidney_L,0
Kidney_R,0
Knochen,0
Kopie Charlien,0
KÖRPER,0
Körper,0
L FHN,0
L Fem Head,0
L Femoral Head,0
L femoral head,0
L femur,0
L hip prosthesis,0
L prosthesis head,0
L prosthesis shaft,0
LAG,0
"LAG + ZV -50,4G",0
LAO_In_Vivo_PT,0
LARGE BOWEL,0
LARGEBOWELOPT,0
LAW,0
LB  IN 70.2,0
LB Opt,0
LECHO,0
LECHO QX,0
LEFT,0
LFH,0
LHOF,0
LHOF LW,0
LHOF PRV,0
LIM,0
LK Illiakal re,0
LK illiakal li,0
LK praesacral,0
LK praevertebral 45Gy,0
LLat_In_Vivo_PT,0
LNS,0
LNS1,0
LNS2,0
LN_CT3,0
LNs,0
LNs2,0
LPO_In_Vivo_PT,0
LR_tbCTVp1,0
LR_tbCTVp1_xx,0
LR_tbGTVp1,0
LT Fem Head,0
LT LAT_In_Vivo_PT,0
Large Bowel,0
Large Bowel Opt,0
Large Bowel noPT,0
Large bowel opt,0
Large bowell,0
LargeBowel,0
LaserOrigin,0
Lecho,0
Left Fem Liam,0
Left hip prosthesis,0
Left prosthetic hip,0
Lg_bowel,0
Li Femur,0
Liver,0
Lnn,0
Lnn_opt,0
Lt Art Hip,0
Lt HOF,0
Lt Hip,0
Lt Hip prosthesis,0
Lt cup,0
Lt head,0
Lt stem,0
Lymph Nodes,0
Lymph nodes,0
Lymph nodes2,0
M F,0
M1,0
M2,0
M3,0
M4,0
MARKERS F,0
MARKERS FIDUCI,0
MARKUP-PTVA4,0
MARKUP_PTV,0
MARKUP_PTV NODE,0
MARKUP_PTV66,0
MARKUP_PTV80,0
MARKUP_PTVA,0
MARKUP_PTVA 1,0
MARKUP_PTVA adj,0
MARKUP_PTVA orig,0
MARKUP_PTVA1,0
MARKUP_PTVB,0
MARKUP_PTVN,0
MAX,0
MDC,0
MESORECTO,0
MF,0
MIDOLLO CAUDA,0
MR11_node,0
MR8_nodes,0
MRsb,0
Mammella dx,0
Mammella sx,0
Marker,0
Marker 1,0
Marker 2,0
Marker 3,0
Marker 4,0
Marker Fiducia,0
Marker1,0
Marker2,0
Marker3,0
Marker4,0
Markers,0
Markup PTV 59.2,0
Markup PTV66.6,0
Markup PTV74,0
Markup PTVA,0
Markup PTVA3mm,0
Markup PTVN,0
Markup_PTVA,0
Markup_PTVN,0
Match points,0
Medula,0
Mesorectum,0
Metaal_Heup_Li,0
Metaal_Heup_Re,0
Metalen heupkop,0
NO 60 HERE,0
NODAL BOOST,0
NODE,0
NODE BOOST,0
NODE PTV,0
NODES,0
NODES PTV,0
NS_ Blaas_inPTV1,0
NS_ Darm_inPTV1,0
NS_100%_inPTV1,0
NS_65.8 Gy,0
NS_65.8Gy_inPTV2,0
NS_95%_exPTV1,0
NS_Avoid,0
NS_Avoid2,0
NS_Bl_inPTV2,0
NS_BowelBag<5400,0
NS_BowelBag<5800,0
